YearWeek,Station,DelayCategory,Minutes_NORM_to_DepDelayMin,Flights_Affected,Share_of_DepDelayMin,DepDelayTotal_PosOnly_Min,DelayBasis
2025-W01,NXA,Late Arrival,311.6,20,0.5126944416968588,607.7,PosOnly
2025-W01,NXA,Ground Ops,127.3,8,0.2094029730950041,607.7,PosOnly
2025-W01,NXA,Engineering,38.6,2,0.06355528010792137,607.7,PosOnly
2025-W01,NXA,OCC,34.6,2,0.05691247226763974,607.7,PosOnly
2025-W01,NXA,ATC,60.9,4,0.10014838426567577,607.7,PosOnly
2025-W01,NXA,Weather,28.6,1,0.04712975090081792,607.7,PosOnly
2025-W01,NXA,Other,6.2,1,0.010156697666082237,607.7,PosOnly
2025-W02,NXA,Late Arrival,461.1,30,0.4777858047423484,965.1,PosOnly
2025-W02,NXA,Ground Ops,183.0,12,0.1896640200359065,965.1,PosOnly
2025-W02,NXA,Engineering,50.3,3,0.05208405291823774,965.1,PosOnly
2025-W02,NXA,OCC,67.5,4,0.06995265465603914,965.1,PosOnly
2025-W02,NXA,ATC,85.2,5,0.08824475152265202,965.1,PosOnly
2025-W02,NXA,Weather,64.3,4,0.06659672686515608,965.1,PosOnly
2025-W02,NXA,Other,53.7,3,0.05567198925966016,965.1,PosOnly
2025-W03,NXA,Late Arrival,218.8,14,0.47074534399078166,464.9,PosOnly
2025-W03,NXA,Ground Ops,114.0,7,0.2452917729366752,464.9,PosOnly
2025-W03,NXA,Engineering,30.2,2,0.06486497185927517,464.9,PosOnly
2025-W03,NXA,OCC,18.8,1,0.04038125781419248,464.9,PosOnly
2025-W03,NXA,ATC,42.9,2,0.09223825853393848,464.9,PosOnly
2025-W03,NXA,Weather,20.5,1,0.0441046383408888,464.9,PosOnly
2025-W03,NXA,Other,19.7,1,0.04237375652424836,464.9,PosOnly
2025-W04,NXA,Late Arrival,341.4,22,0.514070913219989,664.1,PosOnly
2025-W04,NXA,Ground Ops,127.1,8,0.19132352270072345,664.1,PosOnly
2025-W04,NXA,Engineering,33.5,2,0.05048599639185728,664.1,PosOnly
2025-W04,NXA,OCC,48.8,3,0.07353293504352472,664.1,PosOnly
2025-W04,NXA,ATC,63.0,4,0.0949074978839105,664.1,PosOnly
2025-W04,NXA,Weather,29.2,1,0.04403100739939186,664.1,PosOnly
2025-W04,NXA,Other,21.0,1,0.03164812736060341,664.1,PosOnly
2025-W05,NXA,Late Arrival,343.7,22,0.4740304723665236,725.1,PosOnly
2025-W05,NXA,Ground Ops,163.5,10,0.2255309041789295,725.1,PosOnly
2025-W05,NXA,Engineering,41.1,2,0.05662602885931872,725.1,PosOnly
2025-W05,NXA,OCC,45.4,3,0.06264638049878203,725.1,PosOnly
2025-W05,NXA,ATC,67.2,4,0.09261145314515833,725.1,PosOnly
2025-W05,NXA,Weather,49.9,3,0.0687762781853373,725.1,PosOnly
2025-W05,NXA,Other,14.3,1,0.019778482765950626,725.1,PosOnly
2025-W06,NXA,Late Arrival,46.7,3,0.4727739911361674,98.8,PosOnly
2025-W06,NXA,Ground Ops,22.4,1,0.22662084199268454,98.8,PosOnly
2025-W06,NXA,Engineering,6.2,1,0.06281122206764714,98.8,PosOnly
2025-W06,NXA,OCC,5.4,1,0.05441502617044432,98.8,PosOnly
2025-W06,NXA,ATC,10.6,1,0.10727194443268845,98.8,PosOnly
2025-W06,NXA,Weather,5.5,1,0.05588626165855218,98.8,PosOnly
2025-W06,NXA,Other,2.0,1,0.02022071254181601,98.8,PosOnly
2025-W07,NXA,Late Arrival,116.8,7,0.4608809094858396,253.5,PosOnly
2025-W07,NXA,Ground Ops,59.3,3,0.23403643335002638,253.5,PosOnly
2025-W07,NXA,Engineering,16.5,1,0.06519110965024721,253.5,PosOnly
2025-W07,NXA,OCC,11.5,1,0.045350364248184505,253.5,PosOnly
2025-W07,NXA,ATC,26.9,1,0.10622943095872422,253.5,PosOnly
2025-W07,NXA,Weather,12.3,1,0.048497407997503426,253.5,PosOnly
2025-W07,NXA,Other,10.1,1,0.03981434430947456,253.5,PosOnly
2025-W08,NXA,Late Arrival,237.4,15,0.5196291224254518,456.9,PosOnly
2025-W08,NXA,Ground Ops,96.0,6,0.2101788946249845,456.9,PosOnly
2025-W08,NXA,Engineering,22.5,1,0.04931481498273414,456.9,PosOnly
2025-W08,NXA,OCC,22.9,1,0.05015802200272247,456.9,PosOnly
2025-W08,NXA,ATC,45.8,3,0.10023792430937073,456.9,PosOnly
2025-W08,NXA,Weather,29.4,1,0.06443915329353649,456.9,PosOnly
2025-W08,NXA,Other,2.8,1,0.006042068361199915,456.9,PosOnly
2025-W09,NXA,Late Arrival,259.7,17,0.5168744599731467,502.5,PosOnly
2025-W09,NXA,Ground Ops,105.3,7,0.209535481481466,502.5,PosOnly
2025-W09,NXA,Engineering,23.5,1,0.046710504727665816,502.5,PosOnly
2025-W09,NXA,OCC,22.5,1,0.04482049347236943,502.5,PosOnly
2025-W09,NXA,ATC,47.9,3,0.09538196192900333,502.5,PosOnly
2025-W09,NXA,Weather,26.6,1,0.052989174786033016,502.5,PosOnly
2025-W09,NXA,Other,16.9,1,0.0336879236303157,502.5,PosOnly
2025-W10,NXA,Late Arrival,431.2,28,0.4545871303742868,948.6,PosOnly
2025-W10,NXA,Ground Ops,188.6,12,0.19879241867491326,948.6,PosOnly
2025-W10,NXA,Engineering,48.5,3,0.05111275845671988,948.6,PosOnly
2025-W10,NXA,OCC,74.6,4,0.07862517643352593,948.6,PosOnly
2025-W10,NXA,ATC,88.8,5,0.09365353527235287,948.6,PosOnly
2025-W10,NXA,Weather,52.6,3,0.05548263403771338,948.6,PosOnly
2025-W10,NXA,Other,64.3,4,0.0677463467504879,948.6,PosOnly
2025-W11,NXA,Late Arrival,533.0,35,0.4644914379067369,1147.4,PosOnly
2025-W11,NXA,Ground Ops,232.3,15,0.20245861545100893,1147.4,PosOnly
2025-W11,NXA,Engineering,60.2,4,0.05249092619421065,1147.4,PosOnly
