Period,Station,Flights_Operated,DepDelayMin_Total,OTP_D15_Pct,AvgDepDelayMin_PerFlight,Controllable_Min_NORM_Total,Reactionary_Min_NORM_Total,GOPS_Min_NORM_Total
2025-W01,NXA,39,607.7,78.5,15.582051,200.5,311.6,127.3
2025-W02,NXA,74,965.1,83.08,13.041892,300.8,461.1,183.0
2025-W03,NXA,55,464.9,91.73,8.452727,163.0,218.8,114.0
2025-W04,NXA,77,664.1,88.12,8.624675,209.4,341.4,127.1
2025-W05,NXA,64,725.1,85.71,11.329688,250.0,343.7,163.5
2025-W06,NXA,19,98.8,92.0,5.2,34.0,46.7,22.4
2025-W07,NXA,20,253.5,82.1,12.675,87.4,116.8,59.3
2025-W08,NXA,42,456.9,85.45,10.878571,141.5,237.4,96.0
2025-W09,NXA,32,502.5,79.73,15.703125,151.3,259.7,105.3
2025-W10,NXA,64,948.6,78.7,14.821875,311.6,431.2,188.6
2025-W11,NXA,70,1147.4,79.03,16.391429,387.1,533.0,232.3
2025-W12,NXA,49,209.0,92.0,4.265306,68.5,101.5,46.5
2025-W13,NXA,61,693.1,83.48,11.362295,222.6,335.2,154.3
2025-W14,NXA,39,450.3,85.83,11.546154,180.1,207.4,108.3
2025-W15,NXA,85,1314.7,79.88,15.467059,476.3,613.9,286.0
2025-W16,NXA,20,148.3,88.53,7.415,49.6,74.8,32.0
2025-W17,NXA,93,1224.6,84.15,13.167742,383.5,578.4,246.0
2025-W18,NXA,99,1336.8,79.33,13.50303,493.3,634.0,330.9
2025-W19,NXA,86,570.6,92.0,6.634884,180.2,261.8,117.2
2025-W20,NXA,44,631.7,78.07,14.356818,208.9,328.2,143.7
2025-W21,NXA,31,347.1,82.64,11.196774,120.0,170.6,72.2
2025-W22,NXA,69,1035.3,81.93,15.004348,340.2,484.3,227.2
2025-W23,NXA,81,1008.1,82.96,12.445679,336.4,490.0,215.5
2025-W24,NXA,65,662.9,87.54,10.198462,209.5,305.2,143.7
2025-W25,NXA,38,649.6,79.05,17.094737,223.7,309.6,151.7
2025-W26,NXA,35,770.2,72.16,22.005714,265.4,389.6,159.9
2025-W27,NXA,100,1255.0,82.68,12.55,410.9,592.8,271.3
2025-W28,NXA,49,665.0,81.16,13.571429,239.8,317.6,152.0
2025-W29,NXA,78,1692.9,72.67,21.703846,590.8,794.8,382.2
2025-W30,NXA,38,831.9,72.84,21.892105,262.4,412.4,165.2
2025-W31,NXA,43,556.8,85.39,12.948837,175.9,287.7,115.2
2025-W32,NXA,90,973.2,85.91,10.813333,375.7,449.2,247.4
2025-W33,NXA,79,1333.7,78.69,16.882278,406.0,672.3,280.0
2025-W34,NXA,42,719.8,75.11,17.138095,254.4,344.7,174.3
2025-W35,NXA,80,993.4,82.03,12.4175,343.5,458.2,223.9
2025-W36,NXA,46,460.1,87.01,10.002174,176.1,221.0,114.1
2025-W37,NXA,30,251.5,87.43,8.383333,99.2,117.6,62.7
2025-W38,NXA,31,317.8,85.91,10.251613,109.0,154.8,73.5
2025-W39,NXA,87,489.4,92.0,5.625287,173.5,221.9,117.1
2025-W40,NXA,30,463.2,81.6,15.44,173.5,222.6,109.0
2025-W41,NXA,50,668.5,80.19,13.37,209.4,330.4,140.8
2025-W42,NXA,56,485.0,89.22,8.660714,150.1,234.3,100.2
2025-W43,NXA,66,818.8,85.64,12.406061,260.1,411.4,164.0
2025-W44,NXA,21,269.0,84.23,12.809524,88.7,128.6,61.3
2025-W45,NXA,33,388.8,83.82,11.781818,139.4,186.9,92.8
2025-W46,NXA,71,1093.7,78.34,15.404225,344.8,507.3,229.9
2025-W47,NXA,90,1239.9,80.36,13.776667,401.8,616.5,269.3
2025-W48,NXA,40,315.7,88.37,7.8925,100.0,155.9,66.9
